country,region,LifeLadder,change7,forn_ladder,local_ladder,SE_life,LnGDPpc ,GDPpc,LifeExp,SocSupp,SEsoc,LifeChoice,SEChoice,Generosity,SEGen,Corruption,SECorr,OECD,Power
Afghanistan,South Asia,3.631518841,-0.688337803,4.068487167,3.853135586,0.04235984,7.462609768,1741.6875,52.01332855,0.525074542,0.011118961,0.445294231,0.011448964,0.179053545,0.008330869,0.879704535,0.006009077,0,0
Albania,Central and Eastern Europe,4.586039543,-0.791440964,,,0.055812787,9.338126183,11363.0957,68.87155151,0.639576375,0.010078066,0.726340234,0.009421178,0.259975374,0.009048301,0.886778414,0.005774963,0,0
Algeria,Middle East and North Africa,5.29463768,-0.1689291,,,0.057086997,9.54070282,13914.72363,65.6048584,0.776976705,0.011170883,0.439177334,0.019161487,0.128987744,0.012327445,0.698342979,0.019292729,0,0
Angola,Sub-Saharan Africa,3.794837952,,,,0.079919316,8.741956711,6260.132813,52.46070862,0.765275478,0.015743686,0.374172747,0.018346261,0.10682857,0.01149865,0.83354044,0.016014094,0,0
Argentina,Latin America and Caribbean,6.387957573,0.112429619,5.843225956,6.439717293,0.049497005,9.842000961,18807.31055,67.39848328,0.905564666,0.00636328,0.85338968,0.007526322,0.16317381,0.00777692,0.847881675,0.006881147,0,0
Armenia,Commonwealth of Independent States,4.320565224,-0.078384399,4.100641251,4.417695999,0.046599716,9.018901825,8257.704102,64.96247864,0.710184693,0.009442767,0.592957973,0.010660568,0.122583561,0.006905243,0.895624936,0.006379432,0,0
Australia,North America and ANZ,7.272051334,-0.079471111,7.249348164,7.323903561,0.04406295,10.70041943,44374.46484,72.65029907,0.948141158,0.00568496,0.918003738,0.007726734,0.694878876,0.012152798,0.388529062,0.012643889,1,1
Austria,Western Europe,7.139362335,-0.122659206,6.90262413,7.26085186,0.035738774,10.70491695,44574.48828,72.04956818,0.920177042,0.005735232,0.893371582,0.006564917,0.509860396,0.010382581,0.533494234,0.00944864,1,0
Azerbaijan,Commonwealth of Independent States,5.200594902,0.663340569,4.734594345,4.922786713,0.035344657,9.685745239,16086.65332,62.96974945,0.779933214,0.009028785,0.73573947,0.009759251,0.104108624,0.006177492,0.620859325,0.01118898,0,0
Bahrain,Middle East and North Africa,6.105068684,0.288799763,6.239933014,5.541756153,0.044032443,10.69341278,44064.63281,65.97679138,0.863598287,0.007030158,0.874140799,0.006279328,0.510673225,0.01012297,,,0,0
Bangladesh,South Asia,4.50039053,-0.497479916,,,0.04211751,8.106625557,3316.368164,62.20355988,0.652717888,0.009915128,0.861735761,0.007413707,0.170758501,0.008096795,0.681194186,0.009344772,0,0
